# Tacticas de equipo y supertacticas con su descripcion (NOTAS O-232).
# Lo genera herramientas/construir_tacticas.py.
id,categoria,nombre,descripcion,efectos,duracion,recarga
ACB1D843,tactica,Cuernos de toro,"Divide y carga por ambos lados como toros bravos. Una maniobra ofensiva abrumadora, pero no exenta de riesgos.",En el geoglifo: AT/DF de Foco +40 % | En el geoglifo: Tasa de Brecha +5 % | Tasa de faltas +25 %,40,90
6FE2F568,tactica,Espadón,Dispersa al otro equipo como si blandieras una enorme espada y luego corre directamente hacia la portería.,AT/DF de Ataque duro +25 % | En el geoglifo: Tasa de Faltas en carrera -50 %,40,90
2ED3EE71,tactica,Monte Fuji,Potencia la Tensión adquirida a la vez que disminuye la reducción de Tensión.,En el geoglifo: Reducción de Tensión -25 % | Aumento de Tensión +25 %,40,90
E945AF3E,tactica,Lanzas laterales,"Carga por ambos lados a la vez, presionando como el empuje repentino de lanzas afiladas.",AT/DF de Foco +20 % | En el geoglifo: Velocidad en carrera +50 %,40,90
A874B427,tactica,Luna creciente,Rompe la línea de ataque del rival e infíltrate en su medio campo mientras formas una preciosa curva en forma de luna.,"En el geoglifo: Cuando la Tensión es menor al 30 %, AT/DF de Foco +40 % | En el geoglifo: Cuando la Tensión es menor al 30 %, AT/DF de Disputa +50 % | Foco, Disputa AT/DF +10 %",40,90
6B27990C,tactica,Defensa del diamante,Clava los talones en la escuadra y bloquea el asalto del rival construyendo un muro que se asemeja a un brillante escudo.,En el geoglifo: DF +30 % | En el geoglifo: Tasa de Parada +5 % | Poder de afinidad +25 % al dispersar,40,90
2A168215,tactica,Fortaleza de llamas,"Invoca un muro de llamas abrasadoras frente a la portería, y duplica temporalmente la potencia de tu defensa.",En el geoglifo: DF +40 % | Aumento de PP +10 %,40,90
E50A1A92,tactica,Protocolo de enlace,Haz que los lazos de tus compañeros de equipo resuenen como uno y aumenta así tu potencia de tiro.,"Reducción del Poder de afinidad -100 % | En el geoglifo: Cuando pases, Poder de afinidad +200 %",40,90
A43B018B,tactica,Ataque en tres frentes,Divide a los jugadores en tres direcciones para confundir al enemigo llevándote rápidamente el balón hacia delante.,AT/DF de Disputa +25 % | En el geoglifo: Velocidad de regate +50 %,40,90
7CCB7804,tactica,Aislar al jugador clave,Aísla a un jugador del resto de su equipo para que no se pueda coordinar.,Objetivo: desaparece las líneas de pase al objetivo | Objetivo: AT -20 % | Objetivo: DF -20 %,10,90
