# La frase que sale bajo el nombre de cada personaje.
# identidad = el valor del campo 0xBA162C11 de la partida.
# Lo genera herramientas/construir_descripciones.py (NOTAS O-92).
identidad,descripcion
000CCA62,Un abanderado de la justicia que detesta a los delincuentes. Idolatra a Ferrel y busca mantener vivo su legado.
002513F9,"No es titular porque las lesiones no le respetan, pero tiene madera."
00491555,La madre de <FUL:VEE>. Una diligente profesional que nunca deja de pensar en su hijo.
004A74D5,Un mentalista que deja a todo boquiabiertos. Entrena sin parar para ser el mejor mago.
005CEF5C,"Un valiente defensa con un potente chut, conocido por sus movimientos de talón y por enfrentarse a jabalíes después del entrenamiento."
0060C7F1,"A pesar de su aspecto pensativo, es un jugador centrado y muy hábil."
006246A5,"Estoico y exigente, se impone a sí mismo y a los demás estándares muy altos. Puede parecer frío, pero siempre cuida a sus compañeros."
00663444,"Se esmera mucho limpiando los baños del instituto, y le admiran por ello."
006DEC12,"Le gustaría darle una oportunidad a la natación sincronizada, pero no encuentra ningún equipo masculino."
006F8F1C,Se crio correteando por las montañas. Tiene unos pies a prueba de callos.
00821881,Es el alma del equipo. Tiene una curiosidad infinita y una gran forma física.
008297CC,Le gustan los baños termales por sus propiedades curativas.
009859CF,Habla como si viera el alma de cada poema. Se dice de broma que es la reencarnación de un sabio anciano.
009F3580,Quiere viajar fuera de Brasil y estudiar el estilo de juego de equipos extranjeros.
00AA63B1,"Obsesionado con la belleza, mira a todos por encima del hombro. ¡Ahora está bajo el control de los Devoramentes!"
00AD1DDF,La velocidad y fuerza de este delantero son temidas entre sus rivales.
00B5CE9C,De naturaleza tranquila y rápido con los pies. Cuando siente presión se mete debajo del caparazón.
00BDA206,Se mete en el río en invierno sin pestañear. Afirma que se debe a su dieta de arenques.
00BF4E45,Le gusta sembrar plantas y regarlas. También cuida del jardín del instituto.
00CA6827,Lleva una kufiya muy elegante para evitar las insolaciones.
00CA6CD2,"Aunque no lo aparenta, es capaz de chutar con una fuerza increíble."
00CAE76A,Piensa que vencer sin destrozar al rival es dejar el trabajo a medias.
00D2A610,Un androide creado por <FLA:SAKAMAKI>. El modo hyperdrive ha aumentado su potencia.
00E08E4F,Uno de los tres guardianes de <FST:RA>. Está obsesionado con el enigma de la esfinge.
01080210,Afirma una y otra vez que no puede concentrarse si no pone la radio de fondo.
01088D5D,Este defensa marrullero no duda en recurrir al juego sucio.
0110CC27,Un androide creado por <FLA:SAKAMAKI>. El modo hyperdrive ha aumentado su potencia.
01189533,Una entrenadora que investiga lo último en tecnología. Está convencida de que la IA revolucionará por completo el fútbol.
0122E478,Se entusiasma mucho por las cosas. Lástima que el interés le dure tan poco...
0140FDFB,Corre tan rápido que deja tras de sí una nube de polvo.
015A33F8,"Heredero de una empresa de cartas legendarias, siempre está colando prototipos en el club, para que le den sus opiniones."
016F77E8,Un portero muy imponente que no teme ningún trallazo. Atrapa el balón con firmeza.
